('and', 'on')	21817
('he', 'his')	22281
('and', 'is')	26074
('the', 'which')	38236
('in', 'to')	44029
('is', 'it')	32274
('had', 'the')	33704
('by', 'the')	57937
('his', 'in')	26269
('as', 'of')	25730
('for', 'of')	22439
('and', 'he')	34987
('a', 'the')	97961
('and', 'as')	25290
('he', 'the')	53021
('not', 'the')	26734
('be', 'to')	46360
('his', 'the')	37955
('her', 'the')	22111
('and', 'his')	39351
('act', 'scene')	28737
('and', 'it')	33369
('in', 'of')	81810
('that', 'to')	30004
('her', 'to')	24867
('thee', 'thou')	50113
('at', 'the')	51349
('a', 'i')	24695
('the', 'was')	36599
('a', 'that')	23049
('and', 'in')	70064
('a', 'in')	61618
('enter', 'scene')	25319
('be', 'the')	27650
('i', 'the')	39820
('of', 'the')	510947
('a', 'to')	65989
('thee', 'thy')	41290
('to', 'you')	32092
('a', 'he')	26027
('in', 'was')	28257
('he', 'to')	33149
('and', 'that')	28867
('and', 'the')	224430
('he', 'was')	22678
('it', 'the')	49230
('the', 'you')	23394
('is', 'the')	67636
('it', 'was')	30291
('a', 'is')	30391
('by', 'of')	27799
('a', 'with')	28778
('as', 'the')	50608
('from', 'the')	43469
('and', 'for')	25193
('o', 'thou')	21797
('thou', 'thy')	61573
('art', 'thou')	33468
('of', 'on')	27226
('he', 'of')	28581
('to', 'was')	34803
('act', 'enter')	24008
('and', 'of')	123107
('as', 'to')	26503
('it', 'to')	38464
('a', 'of')	118431
('but', 'the')	31204
('and', 'her')	25505
('and', 'a')	41405
('the', 'this')	22651
('of', 'this')	23788
('of', 'with')	24955
('are', 'the')	22683
('is', 'to')	26116
('i', 'to')	39243
('of', 'which')	22653
('on', 'the')	69250
('not', 'to')	21738
('and', 'with')	30077
('a', 'for')	26123
('he', 'in')	22770
('and', 'to')	85858
('for', 'the')	52857
('of', 'that')	36607
('and', 'i')	36412
('have', 'i')	23655
('of', 'to')	75468
('his', 'to')	29800
('it', 'of')	30045
('his', 'of')	38108
('in', 'the')	183958
('that', 'was')	22429
('him', 'to')	22201
('hast', 'thou')	23777
('i', 'of')	23474
('a', 'it')	26536
('a', 'as')	28426
('the', 'to')	183170
('that', 'the')	60898
('all', 'the')	25023
('the', 'with')	53452
('or', 'the')	23938
('is', 'of')	34043
